RUNNER,AGE,GENDER,EVENT COUNT
749,N/A,N/A,1
750,N/A,N/A,0
751,N/A,N/A,13
752,N/A,N/A,2
753,N/A,N/A,2
754,N/A,N/A,7
755,N/A,N/A,1
756,N/A,N/A,0
757,N/A,N/A,1
758,N/A,N/A,3
759,N/A,N/A,0
760,N/A,N/A,0
761,N/A,N/A,2
762,N/A,N/A,0
763,N/A,N/A,3
764,N/A,N/A,0
765,N/A,N/A,2
766,N/A,N/A,0
767,N/A,N/A,3
768,N/A,N/A,0
769,N/A,N/A,0
770,N/A,N/A,10
771,N/A,N/A,2
772,N/A,N/A,1
773,N/A,N/A,4
774,N/A,N/A,0
775,N/A,N/A,6
776,N/A,N/A,4
777,N/A,N/A,3
778,N/A,N/A,0
779,N/A,N/A,0
780,N/A,N/A,1
781,N/A,N/A,1
782,N/A,N/A,0
783,N/A,N/A,10
784,N/A,N/A,0
785,N/A,N/A,0
786,N/A,N/A,2
787,N/A,N/A,5
788,N/A,N/A,4
789,N/A,N/A,0
790,N/A,N/A,4
791,N/A,N/A,1
792,N/A,N/A,4
793,N/A,N/A,1
794,N/A,N/A,7
795,N/A,N/A,8
796,N/A,N/A,0
797,N/A,N/A,11
798,N/A,N/A,3
799,N/A,N/A,2
800,N/A,N/A,0
801,N/A,N/A,4
802,N/A,N/A,0
803,N/A,N/A,5
804,N/A,N/A,5
805,N/A,N/A,6
806,N/A,N/A,3
807,N/A,N/A,2
808,N/A,N/A,1
809,N/A,N/A,1
810,N/A,N/A,1
811,N/A,N/A,1
812,N/A,N/A,0
813,N/A,N/A,1
814,N/A,N/A,2
815,N/A,N/A,4
816,N/A,N/A,0
817,N/A,N/A,1
818,N/A,N/A,2
819,N/A,N/A,1
820,N/A,N/A,4
821,N/A,N/A,6
822,N/A,N/A,8
823,N/A,N/A,1
824,N/A,N/A,1
825,N/A,N/A,2
826,N/A,N/A,0
827,N/A,N/A,0
828,N/A,N/A,1
829,N/A,N/A,1
830,N/A,N/A,0
831,N/A,N/A,0
832,N/A,N/A,1
833,N/A,N/A,1
834,N/A,N/A,2
835,N/A,N/A,1
836,N/A,N/A,0
837,N/A,N/A,1
838,N/A,N/A,0
839,N/A,N/A,0
840,N/A,N/A,2
841,N/A,N/A,4
842,N/A,N/A,0
843,N/A,N/A,0
844,N/A,N/A,1
845,N/A,N/A,0
846,N/A,N/A,2
847,N/A,N/A,1
848,N/A,N/A,1
849,N/A,N/A,1
850,N/A,N/A,1
851,N/A,N/A,1
852,N/A,N/A,3
853,N/A,N/A,0
854,N/A,N/A,3
855,N/A,N/A,2
856,N/A,N/A,1
857,N/A,N/A,3
858,N/A,N/A,3
859,N/A,N/A,0
860,N/A,N/A,0
861,N/A,N/A,4
862,N/A,N/A,8
863,N/A,N/A,1
864,N/A,N/A,2
865,N/A,N/A,1
866,N/A,N/A,0
867,N/A,N/A,1
868,N/A,N/A,0
869,N/A,N/A,0
870,N/A,N/A,7
871,N/A,N/A,0
872,N/A,N/A,1
873,N/A,N/A,3
874,N/A,N/A,8
875,N/A,N/A,2
876,N/A,N/A,1
877,N/A,N/A,0
