RUNNER,GENDER,AGE,RAN 2011,RAN 2012,RAN 2013,RAN 2014,RAN 2015,EVENT COUNT,AVG_DIST,RUN_RATIO,TIME_WEIGHT,TOTAL DISTANCE,PERFORMANCE,AVG SPEED
6171,M,50,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,0.0
3606,F,51,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.53256107076
761,M,40,0,1,1,0,0,2,31.64625,1.0,2.5,63.2925,2225.52253125,2.78734805352
4097,M,50,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,1.91699604743
3524,M,45,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.47492521556
8655,M,48,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,3.62406596238
1797,M,44,0,0,1,1,0,4,23.42375,1.0,1.25,93.695,2886.668025,3.60502715529
214,F,27,0,1,1,0,0,3,31.64625,0.666666666667,2.33333333333,62.2925,2226.52253125,1.93672070058
8160,F,40,0,0,0,1,1,2,42.195,0.5,1.0,40.195,1782.418025,0.950081059173
3321,M,45,0,1,1,0,0,2,31.64625,1.0,2.5,63.2925,2225.52253125,3.040265366
4605,M,55,0,1,1,1,0,5,35.1625,0.6,2.0,103.4875,4007.94055625,2.10619579534
4985,M,31,0,1,0,0,0,4,73.5975,0.5,3.0,145.195,12807.418025,2.60358706958
5865,F,58,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.14416382946
4330,M,40,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,3.34774674706
2254,M,36,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,3.65926632556
7236,M,40,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.91140550611
4039,F,44,0,1,1,1,0,4,26.371875,1.0,1.75,105.4875,3115.73154375,2.03804137824
1058,M,36,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,3.29159840861
142,F,38,0,0,1,1,0,3,20.065,1.0,1.33333333333,60.195,1974.418025,2.26632621128
1585,M,38,0,0,1,1,0,2,42.195,0.5,1.5,51.195,1881.418025,1.8355148114
6554,M,36,0,1,1,0,0,3,28.13,1.0,2.66666666667,84.39,2670.6270375,2.86495906946
3264,M,34,0,1,1,1,1,4,14.29875,1.0,1.75,62.195,1880.418025,3.99543939853
1887,M,55,0,0,0,1,0,2,42.195,0.5,1.0,40.195,1782.418025,0.732372149783
6944,F,29,0,0,1,1,1,5,34.065,0.6,1.6,99.195,3583.418025,1.49805381606
233,M,42,0,1,0,1,0,2,36.0975,1.0,2.0,72.195,2680.418025,2.72476172701
3215,M,52,0,1,1,0,1,3,17.3983333333,1.0,2.66666666667,109.39,2895.6270375,3.62096344868
7082,F,43,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.01446576912
1076,F,None,0,0,1,1,0,2,31.64625,1.0,1.5,63.2925,2225.52253125,0.900140796996
192,M,43,0,0,0,1,1,2,23.5975,1.0,1.0,46.195,1806.418025,1.78048199187
3627,M,25,0,1,0,0,0,2,76.0975,1.0,3.0,152.195,13880.418025,4.86819473527
7833,F,47,0,1,0,1,0,2,31.64625,1.0,2.0,63.2925,2225.52253125,2.49641683168
6495,M,48,0,1,1,1,1,6,28.871875,0.666666666667,1.83333333333,117.4875,4133.94055625,2.34524864153
5985,M,60,0,1,0,1,1,2,10.0,1.0,2.0,77.195,2205.418025,3.40729476762
7422,M,28,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,3.03364727874
3058,F,36,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.75083121455
8005,M,54,0,1,1,1,0,7,14.5992857143,1.0,1.71428571429,102.195,2880.418025,3.51800959762
3584,F,59,0,0,1,0,1,1,42.195,1.0,2.0,84.39,3560.83605,2.20203370473
7519,M,43,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.19365739537
952,M,51,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,3.39925884154
3682,M,33,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.16729159176
2243,M,54,0,1,1,1,0,4,42.195,0.75,2.0,125.585,5342.254075,2.16640231033
8430,M,45,0,1,1,1,1,7,31.6225,0.571428571429,2.14285714286,148.49,5237.04605,1.40342561323
1834,M,51,0,1,0,0,0,3,24.065,1.0,3.0,72.195,2280.418025,3.02515900002
4561,M,45,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,3.06115786419
563,M,35,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,3.0527420055
3651,F,43,0,1,1,1,0,9,17.17375,0.888888888889,1.66666666667,136.39,3240.6270375,2.4186180542
7006,F,44,0,1,0,0,1,1,21.0975,1.0,3.0,63.2925,2225.52253125,2.40020860635
